YEAR	MONTH	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	Mean
2021	Minimum	9.35483870967742	9.82142857142857	9.7741935483871	10.2	10.7096774193548	8.26666666666667	7.96774193548387	8.64516129032258	7.76666666666667	10.0645161290323	10.4	9.93548387096774	9.40886456733231
NA	Maximum	29.0645161290323	28.7857142857143	29.1935483870968	28.5333333333333	28.3870967741935	27.6	28.1290322580645	28.741935483871	29.3	28.8064516129032	28.7666666666667	28.4838709677419	28.6493471582181
NA	Mean	19.2096774193548	19.3035714285714	19.4838709677419	19.3666666666667	19.5483870967742	17.9333333333333	18.0483870967742	18.6935483870968	18.5333333333333	19.4354838709677	19.5833333333333	19.2096774193548	19.0291058627752
2020	Minimum	10.8709677419355	10.2413793103448	10.9677419354839	11.0666666666667	9.67741935483871	9.23333333333333	9.45161290322581	9.38709677419355	9.36666666666667	9.51612903225806	9.33333333333333	9.2258064516129	9.8615127919911
NA	Maximum	28.5483870967742	29.2413793103448	29.5161290322581	28.9	28.8666666666667	28.1333333333333	27.7096774193548	28.1612903225806	28	28.741935483871	28.6	28.8387096774194	28.6047923618836
NA	Mean	19.7096774193548	19.7413793103448	20.241935483871	19.9833333333333	19.2720430107527	18.6833333333333	18.5806451612903	18.7741935483871	18.6833333333333	19.1290322580645	18.9666666666667	19.0322580645161	19.2331525769373
2019	Minimum	10	9.35714285714286	10.0689655172414	10.6666666666667	9.67741935483871	10.6333333333333	9.38709677419355	9.45161290322581	9.6	10	10	11	9.98685311722019
NA	Maximum	29	31.75	31.551724137931	29.6333333333333	28.9032258064516	28.0666666666667	27.3548387096774	27.2258064516129	28.3	27.9354838709677	28	29	28.8934232480534
NA	Mean	19.5	20.5535714285714	20.8103448275862	20.15	19.2903225806452	19.35	18.3709677419355	18.3387096774194	18.95	18.9677419354839	19	20	19.4401381826368
2018	Minimum	10	10	10	11	11	11	10	10	9	10	10	10.5161290322581	10.2096774193548
NA	Maximum	27	31	26	26	27	26	26	28	30	28	28	27.4838709677419	27.5403225806452
NA	Mean	18.5	20.5	18	18.5	19	18.5	18	19	19.5	19	19	19	18.875
2017	Minimum	8	10	11	10	10	10	11	10	10	10	10	10	10
NA	Maximum	31	30	29	29	25	27	26	25	26	29	29	29	27.9166666666667
NA	Mean	19.5	20	20	19.5	17.5	18.5	18.5	17.5	18	19.5	19.5	19.5	18.9583333333333
2016	Minimum	12	11	11	12	12	10	10	10	10	10	10	9	10.5833333333333
NA	Maximum	28	29	31	27	27	28	26	27	28	28	28	30	28.0833333333333
NA	Mean	20	20	21	19.5	19.5	19	18	18.5	19	19	19	19.5	19.3333333333333
2015	Minimum	9	10	10	12	12	12	10	10	10	11	12	10	10.6666666666667
NA	Maximum	25	30	32	27	28	28	29	29	29	29	27	28	28.4166666666667
NA	Mean	17	20	21	19.5	20	20	19.5	19.5	19.5	20	19.5	19	19.5416666666667
2014	Minimum	10	10	10	10	11	12	11	9	10	11	10	9	10.25
NA	Maximum	28	24	28	27	28	21	18	25	30	27	23	23	25.1666666666667
NA	Mean	19	17	19	18.5	19.5	16.5	14.5	17	20	19	16.5	16	17.7083333333333
2013	Minimum	11	10	10	11	10	10	10	9	10	10	10	11	10.1666666666667
NA	Maximum	28	30	30	28	28	28	28	27	29	28	27	21	27.6666666666667
NA	Mean	19.5	20	20	19.5	19	19	19	18	19.5	19	18.5	16	18.9166666666667
2012	Minimum	8	11	10.4	NA	NA	10	12	11	10	10	11	12	10.54
NA	Maximum	25	27.6666666666667	26.6	NA	NA	25	26	25	26	27	27	28	26.3266666666667
NA	Mean	16.5	19.3333333333333	18.5	NA	NA	17.5	19	18	18	18.5	19	20	18.4333333333333
