Var1	Freq
9806490B	2066
9803076C	2031
9807707B	1352
9805147E	1348
9805110A	1278
9716171A	864
9713644C	836
9701987B	783
9909777B	690
0304126A	588
0702235B	534
9700682A	499
9501529B	495
0704524B	478
9903666A	459
9803854A	447
0700113A	428
0701947A	385
9813850B	380
0708004A	368
0007038B	340
9501524A	336
9715075B	327
0006205A	319
0204085B	296
9501622B	279
0703875B	276
9805106A	270
0902710D	269
9806275A	259
0707485B	244
9701475B	244
0710225B	234
0400082D	202
9707087A	199
0906952B	197
9806390C	197
0806474C	192
9709297A	181
9501818A	179
0702086C	173
0708312C	166
0702391A	161
0702856B	159
0903589A	157
0903213C	151
9615737C	146
0303876A	142
0403912A	135
0704668C	130
9804585A	128
0702441C	122
9814719C	121
0709237B	119
9814018B	119
9814836B	116
0305274C	112
0903256B	110
0102840A	109
9700940A	106
0403128B	99
0705017A	99
0305029A	98
9812905A	97
0701441C	90
0705853A	82
0504057A	73
9813446D	68
0701941B	62
0705681A	58
0708117B	56
0707238B	46
9501524B	43
0402799A	42
0704253A	32
9812985B	30
9707707B	29
0401658A	28
0710212B	21
9717175A	21
0709680B	8
9813644C	8
0706273A	5
