clone_id	correct_id	correct_female	correct_male	removed	year	generation
000174	0000174	TL1	12/108	false	2000	1
000176	0000176	TL1	12/108	false	2000	1
000269	0000269	12/108	PC110	false	2000	1
000292	0000292	MRTM1	TL1	false	2000	1
000299	0000299	MRTM1	TL1	false	2000	1
000344	0000344	TL1	12/108	false	2000	1
000388	0000388	MRTM1	TL1	false	2000	1
000463	0000463	SFS150	EJULU	false	2000	1
000540	0000540	MRTM1	TL1	false	2000	1
000589	0000589	EJULU	PC110	false	2000	1
000641	0000641	TL1	10/3	false	2000	1
000742	0000742	MRTM1	TL1	false	2000	1
000788	0000788	SFS150	EJULU	false	2000	1
000810	0000810	SFS150	EJULU	false	2000	1
001132	0001132	MRTM1	TL1	false	2000	1
001154	0001154	MRTM1	TL1	false	2000	1
001263	0001263	TL1	12/108	false	2000	1
001335	0001335	12/108	PC110	false	2000	1
001563	0001563	6/8	PC110	false	2000	1
001896	0001896	6/8	PC110	false	2000	1
002047	0002047	SFS150	6/8	false	2000	1
002347	0002347	TL1	10/3	false	2000	1
0002403	0002403	SFS150	6/8	false	2000	1
002453	0002453	SFS150	6/8	false	2000	1
002591	0002591	SFS150	6/8	false	2000	1
002782	0002782	SFS150	6/8	false	2000	1
002790	0002790	SFS150	6/8	false	2000	1
002886	0002886	MRTM1	TL1	false	2000	1
003163	0003163	TL1	12/108	false	2000	1
0003180	0003180	SFS150	12/108	false	2000	1
003437	0003437	SFS150	12/108	false	2000	1
003448	0003448	SFS150	12/108	false	2000	1
003522	0003522	SFS150	12/108	false	2000	1
0003549	0003549	12/108	SFS150	false	2000	1
003825	0003825	SFS150	10/3	false	2000	1
003914	0003914	10/3	SFS150	false	2000	1
003919	0003919	1602/7	MRTM1	false	2000	1
003949	0003949	1602/7	MRTM1	false	2000	1
003954	0003954	1602/7	MRTM1	false	2000	1
004011	0004011	2607/7	MRTM1	false	2000	1
004021	0004021	901/2	MRTM1	false	2000	1
004022	0004022	901/2	MRTM1	false	2000	1
0004132	0004132	2607/7	MRTM1	false	2000	1
004344	0004344	2607/7	MRTM1	false	2000	1
004354	0004354	2607/7	MRTM1	false	2000	1
004358	0004358	2607/7	MRTM1	false	2000	1
004371	0004371	901/2	MRTM1	false	2000	1
004442	0004442	901/2	MRTM1	false	2000	1
0004519	0004519	510/17	MRTM1	false	2000	1
004551	0004551	901/2	MRTM1	false	2000	1
004567	0004567	901/2	MRTM1	false	2000	1
004597	0004597	2607/7	6/8	false	2000	1
004683	0004683	1602/7	MRTM1	false	2000	1
0004736	0004736	2607/7	6/8	false	2000	1
004741	0004741	2607/7	6/8	false	2000	1
004798	0004798	1602/7	MRTM1	false	2000	1
004806	0004806	1602/7	MRTM1	false	2000	1
004841	0004841	901/2	6/8	false	2000	1
004904	0004904	901/2	6/8	false	2000	1
004923	0004923	901/2	6/8	false	2000	1
0005020	0005020	901/2	6/8	false	2000	1
005307	0005307	1602/7	6/8	false	2000	1
0005356	0005356	901/2	6/8	false	2000	1
0005433	0005433	1602/7	6/8	false	2000	1
005492	0005492	MRTM1	16/163	false	2000	1
005521	0005521	1602/7	6/8	false	2000	1
005564	0005564	MRTM1	16/163	false	2000	1
005617	0005617	MRTM1	16/163	false	2000	1
0005627	0005627	MRTM1	16/163	false	2000	1
005667	0005667	MRTM1	16/163	false	2000	1
005703	0005703	901/2	15/10	false	2000	1
0005758	0005758	MRTM1	16/163	false	2000	1
0005786	0005786	MRTM1	16/163	false	2000	1
005818	0005818	901/2	15/10	false	2000	1
005859	0005859	1602/7	15/10	false	2000	1
005885	0005885	1602/7	15/10	false	2000	1
0005906	0005906	MRTM1	16/163	false	2000	1
005931	0005931	MRTM1	16/163	false	2000	1
006035	0006035	1602/7	15/10	false	2000	1
006046	0006046	901/2	15/10	false	2000	1
006088	0006088	502/7	15/10	false	2000	1
0006101	0006101	510/2	MRTM1	false	2000	1
0006173	0006173	1602/7	15/10	false	2000	1
006176	0006176	1602/7	15/10	false	2000	1
006261	0006261	803/17	MRTM1	false	2000	1
0006271	0006271	803/17	MRTM1	false	2000	1
006272	0006272	803/17	MRTM1	false	2000	1
006277	0006277	803/17	MRTM1	false	2000	1
0006294	0006294	208/17	MRTM1	false	2000	1
006311	0006311	901/2	15/10	false	2000	1
006326	0006326	901/2	15/10	false	2000	1
006379	0006379	1602/7	15/10	false	2000	1
0006403	0006403	803/17	MRTM1	false	2000	1
0006430	0006430	208/17	MRTM1	false	2000	1
006663	0006663	803/17	MRTM1	false	2000	1
006665	0006665	803/17	MRTM1	false	2000	1
0006759	0006759	2607/7	15/10	false	2000	1
0006780	0006780	502/7	MRTM1	false	2000	1
0006806	0006806	510/2	MRTM1	false	2000	1
0006840	0006840	901/2	TL1	false	2000	1
006861	0006861	1602/7	TL1	false	2000	1
006875	0006875	1602/7	TL1	false	2000	1
0006886	0006886	1602/7	TL1	false	2000	1
006891	0006891	1602/7	TL1	false	2000	1
0006935	0006935	502/7	MRTM1	false	2000	1
0006939	0006939	510/2	MRTM1	false	2000	1
0006965	0006965	16/163	15/10	false	2000	1
0007039	0007039	2607/7	15/10	false	2000	1
007156	0007156	1602/7	TL1	false	2000	1
007160	0007160	1602/7	TL1	false	2000	1
007162	0007162	1602/7	TL1	false	2000	1
007238	0007238	803/17	MRTM1	false	2000	1
007261	0007261	2607/7	15/10	false	2000	1
007288	0007288	510/2	MRTM1	false	2000	1
0007329	0007329	2607/7	15/10	false	2000	1
0007352	0007352	1602/7	TL1	false	2000	1
007387	0007387	1602/7	TL1	false	2000	1
007477	0007477	901/2	BB35	false	2000	1
0007543	0007543	2607/7	TL1	false	2000	1
0007598	0007598	2607/7	TL1	false	2000	1
007607	0007607	510/2	15/10	false	2000	1
007706	0007706	1602/7	BB35	false	2000	1
0007714	0007714	502/7	MRTM1	false	2000	1
0007735	0007735	502/7	MRTM1	false	2000	1
007829	0007829	1602/7	BB35	false	2000	1
007855	0007855	2607/7	TL1	false	2000	1
007870	0007870	502/7	MRTM1	false	2000	1
007901	0007901	1602/7	BB35	false	2000	1
007902	0007902	1602/7	BB35	false	2000	1
007935	0007935	2607/7	TL1	false	2000	1
0008123	0008123	502/7	15/10	false	2000	1
0008233	0008233	203/2	MRTM1	false	2000	1
0008236	0008236	203/2	MRTM1	false	2000	1
0008237	0008237	203/2	MRTM1	false	2000	1
0008316	0008316	510/2	MRTM1	false	2000	1
0008331	0008331	1704/17	MRTM1	false	2000	1
0008332	0008332	1704/17	MRTM1	false	2000	1
0100170	0100170	803/17	864	false	2001	1
0100173	0100173	803/17	864	false	2001	1
0100193	0100193	502/7	PC110	false	2001	1
0100204	0100204	502/7	PC110	false	2001	1
0100214	0100214	502/7	PC110	false	2001	1
0100227	0100227	502/7	PC110	false	2001	1
0100257	0100257	803/17	PC110	false	2001	1
0100279	0100279	502/7	PC110	false	2001	1
0100295	0100295	502/7	864	false	2001	1
0100330	0100330	803/17	PC110	false	2001	1
0100457	0100457	502/7	PC110	false	2001	1
0100462	0100462	502/7	PC110	false	2001	1
0100493	0100493	803/17	PC110	false	2001	1
0100541	0100541	502/7	864	false	2001	1
0100568	0100568	502/7	864	false	2001	1
0100570	0100570	502/7	864	false	2001	1
0100629	0100629	803/17	PC110	false	2001	1
0100633	0100633	803/17	PC110	false	2001	1
