:START_ID,:END_ID,:TYPE
"SFS150","0000050A","PARENT_OF"
"EJULU","0000050A","PARENT_OF"
"SFS150","0000050C","PARENT_OF"
"EJULU","0000050C","PARENT_OF"
"SFS150","0000058A","PARENT_OF"
"EJULU","0000058A","PARENT_OF"
"PC110","0000070A","PARENT_OF"
"EJULU","0000070A","PARENT_OF"
"PC110","0000103A","PARENT_OF"
"EJULU","0000103A","PARENT_OF"
"SFS150","0000124A","PARENT_OF"
"EJULU","0000124A","PARENT_OF"
"SFS150","0000124B","PARENT_OF"
"EJULU","0000124B","PARENT_OF"
"SFS150","0000127A","PARENT_OF"
"EJULU","0000127A","PARENT_OF"
"SFS150","0000127D","PARENT_OF"
"EJULU","0000127D","PARENT_OF"
"SFS150","0000129A","PARENT_OF"
"EJULU","0000129A","PARENT_OF"
"SFS150","0000129B","PARENT_OF"
"EJULU","0000129B","PARENT_OF"
"SFS150","0000131A","PARENT_OF"
"EJULU","0000131A","PARENT_OF"
"SFS150","0000131B","PARENT_OF"
"EJULU","0000131B","PARENT_OF"
"SFS150","0000136A","PARENT_OF"
"EJULU","0000136A","PARENT_OF"
"SFS150","0000136B","PARENT_OF"
"EJULU","0000136B","PARENT_OF"
"SFS150","0000138A","PARENT_OF"
"EJULU","0000138A","PARENT_OF"
"SFS150","0000138C","PARENT_OF"
"EJULU","0000138C","PARENT_OF"
"SFS150","0000142A","PARENT_OF"
"EJULU","0000142A","PARENT_OF"
"SFS150","0000157A","PARENT_OF"
"EJULU","0000157A","PARENT_OF"
"12/108","0000242D","PARENT_OF"
"PC110","0000242D","PARENT_OF"
"12/108","0000251A","PARENT_OF"
"PC110","0000251A","PARENT_OF"
"12/108","0000254A","PARENT_OF"
"PC110","0000254A","PARENT_OF"
"12/108","0000269","PARENT_OF"
"PC110","0000269","PARENT_OF"
"SFS150","0000425A","PARENT_OF"
"EJULU","0000425A","PARENT_OF"
"SFS150","0000425B","PARENT_OF"
"EJULU","0000425B","PARENT_OF"
"SFS150","0000425C","PARENT_OF"
"EJULU","0000425C","PARENT_OF"
"SFS150","0000425D","PARENT_OF"
"EJULU","0000425D","PARENT_OF"
"SFS150","0000425E","PARENT_OF"
"EJULU","0000425E","PARENT_OF"
"SFS150","0000426A","PARENT_OF"
"EJULU","0000426A","PARENT_OF"
"SFS150","0000426B","PARENT_OF"
"EJULU","0000426B","PARENT_OF"
"SFS150","0000440A","PARENT_OF"
"EJULU","0000440A","PARENT_OF"
"SFS150","0000449B","PARENT_OF"
"EJULU","0000449B","PARENT_OF"
"SFS150","0000463","PARENT_OF"
"EJULU","0000463","PARENT_OF"
"SFS150","0000464A","PARENT_OF"
"EJULU","0000464A","PARENT_OF"
"SFS150","0000464B","PARENT_OF"
"EJULU","0000464B","PARENT_OF"
"SFS150","0000464C","PARENT_OF"
"EJULU","0000464C","PARENT_OF"
"SFS150","0000464D","PARENT_OF"
"EJULU","0000464D","PARENT_OF"
"SFS150","0000464E","PARENT_OF"
"EJULU","0000464E","PARENT_OF"
"PC110","0000474B","PARENT_OF"
"EJULU","0000474B","PARENT_OF"
"PC110","0000476B","PARENT_OF"
"EJULU","0000476B","PARENT_OF"
"EJULU","0000589","PARENT_OF"
"PC110","0000589","PARENT_OF"
"EJULU","0000610A","PARENT_OF"
"PC110","0000610A","PARENT_OF"
"EJULU","0000610B","PARENT_OF"
"PC110","0000610B","PARENT_OF"
"EJULU","0000610C","PARENT_OF"
"PC110","0000610C","PARENT_OF"
"EJULU","0000619E","PARENT_OF"
"PC110","0000619E","PARENT_OF"
"EJULU","0000622C","PARENT_OF"
"PC110","0000622C","PARENT_OF"
"EJULU","0000630A","PARENT_OF"
"PC110","0000630A","PARENT_OF"
"SFS150","0000673A","PARENT_OF"
"EJULU","0000673A","PARENT_OF"
"SFS150","0000673B","PARENT_OF"
"EJULU","0000673B","PARENT_OF"
"SFS150","0000673C","PARENT_OF"
"EJULU","0000673C","PARENT_OF"
"SFS150","0000673D","PARENT_OF"
"EJULU","0000673D","PARENT_OF"
"SFS150","0000677A","PARENT_OF"
"EJULU","0000677A","PARENT_OF"
"SFS150","0000677B","PARENT_OF"
"EJULU","0000677B","PARENT_OF"
"SFS150","0000678B","PARENT_OF"
"EJULU","0000678B","PARENT_OF"
"SFS150","0000678C","PARENT_OF"
"EJULU","0000678C","PARENT_OF"
"PC110","0000684A","PARENT_OF"
"EJULU","0000684A","PARENT_OF"
"PC110","0000684B","PARENT_OF"
"EJULU","0000684B","PARENT_OF"
"PC110","0000717A","PARENT_OF"
"EJULU","0000717A","PARENT_OF"
"SFS150","0000782C","PARENT_OF"
"EJULU","0000782C","PARENT_OF"
"SFS150","0000782D","PARENT_OF"
"EJULU","0000782D","PARENT_OF"
"SFS150","0000785A","PARENT_OF"
"EJULU","0000785A","PARENT_OF"
"SFS150","0000785B","PARENT_OF"
"EJULU","0000785B","PARENT_OF"
"SFS150","0000785C","PARENT_OF"
"EJULU","0000785C","PARENT_OF"
"SFS150","0000788","PARENT_OF"
"EJULU","0000788","PARENT_OF"
"SFS150","0000792A","PARENT_OF"
"EJULU","0000792A","PARENT_OF"
"SFS150","0000792B","PARENT_OF"
"EJULU","0000792B","PARENT_OF"
"SFS150","0000792C","PARENT_OF"
"EJULU","0000792C","PARENT_OF"
"SFS150","0000799A","PARENT_OF"
"EJULU","0000799A","PARENT_OF"
"SFS150","0000799B","PARENT_OF"
"EJULU","0000799B","PARENT_OF"
"SFS150","0000800A","PARENT_OF"
"EJULU","0000800A","PARENT_OF"
"SFS150","0000800B","PARENT_OF"
"EJULU","0000800B","PARENT_OF"
"SFS150","0000803A","PARENT_OF"
"EJULU","0000803A","PARENT_OF"
"SFS150","0000803B","PARENT_OF"
"EJULU","0000803B","PARENT_OF"
"SFS150","0000804C","PARENT_OF"
"EJULU","0000804C","PARENT_OF"
"SFS150","0000804D","PARENT_OF"
"EJULU","0000804D","PARENT_OF"
"SFS150","0000807A","PARENT_OF"
"EJULU","0000807A","PARENT_OF"
"SFS150","0000810","PARENT_OF"
"EJULU","0000810","PARENT_OF"
"SFS150","0000814A","PARENT_OF"
"EJULU","0000814A","PARENT_OF"
"SFS150","0000814B","PARENT_OF"
"EJULU","0000814B","PARENT_OF"
"SFS150","0000814C","PARENT_OF"
"EJULU","0000814C","PARENT_OF"
"SFS150","0000939A","PARENT_OF"
"EJULU","0000939A","PARENT_OF"
"SFS150","0000940B","PARENT_OF"
"EJULU","0000940B","PARENT_OF"
"PC110","0000944A","PARENT_OF"
"12/108","0000944A","PARENT_OF"
"PC110","0000952B","PARENT_OF"
"12/108","0000952B","PARENT_OF"
"PC110","0001048A","PARENT_OF"
"EJULU","0001048A","PARENT_OF"
"PC110","0001048B","PARENT_OF"
"EJULU","0001048B","PARENT_OF"
"PC110","0001048C","PARENT_OF"
