id:ID,gener,par1,par2,year:int,:LABEL
"000014B","0","0","0","2000","Plant"
"000929A","0","0","0","2000","Plant"
"002444B","0","0","0","2000","Plant"
"007156","0","0","0","2000","Plant"
"1/157","0","0","0","","Plant"
"1/80","0","0","0","","Plant"
"1/92","0","0","0","","Plant"
"10/3","0","0","0","","Plant"
"12/108","0","0","0","","Plant"
"12/109","0","0","0","","Plant"
"12/227","0","0","0","","Plant"
"12/228","0","0","0","","Plant"
"12/49","0","0","0","","Plant"
"12/52","0","0","0","","Plant"
"12/53","0","0","0","","Plant"
"12/89","0","0","0","","Plant"
"1207/17","0","0","0","","Plant"
"13/005","0","0","0","","Plant"
"14/140","0","0","0","","Plant"
"14/3","0","0","0","","Plant"
"14/6","0","0","0","","Plant"
"14/74","0","0","0","","Plant"
"15/10","0","0","0","","Plant"
"1506/7","0","0","0","","Plant"
"16/163","0","0","0","","Plant"
"16/88","0","0","0","","Plant"
"1602/7","0","0","0","","Plant"
"1704/17","0","0","0","","Plant"
"18233","0","0","0","","Plant"
"203/2","0","0","0","","Plant"
"208/17","0","0","0","","Plant"
"209/7","0","0","0","","Plant"
"2607/7","0","0","0","","Plant"
"303/577","0","0","0","","Plant"
"303/999","0","0","0","","Plant"
"31/8","0","0","0","","Plant"
"4/1","0","0","0","","Plant"
"4/10","0","0","0","","Plant"
"502/7","0","0","0","","Plant"
"510/17","0","0","0","","Plant"
"510/2","0","0","0","","Plant"
"6/8","0","0","0","","Plant"
"803/17","0","0","0","","Plant"
"864","0","0","0","","Plant"
"901/2","0","0","0","","Plant"
"9707707B","0","0","0","1997","Plant"
"9813644C","0","0","0","1998","Plant"
"BB2","0","0","0","","Plant"
"BB21","0","0","0","","Plant"
"BB35","0","0","0","","Plant"
"BB5","0","0","0","","Plant"
"BB7","0","0","0","","Plant"
"BBT207","0","0","0","","Plant"
"BBT282","0","0","0","","Plant"
"C.BREVISTYLA","0","0","0","","Plant"
"C.IRRAWADIENSIS","0","0","0","","Plant"
"C.OLEIFERA","0","0","0","","Plant"
"C12","0","0","0","","Plant"
"C182/40","0","0","0","","Plant"
"CH3","0","0","0","","Plant"
"EJULU","0","0","0","","Plant"
"K-PURPLE","0","0","0","","Plant"
"MFS87","0","0","0","","Plant"
"MRT1","0","0","0","","Plant"
"MRTM1","0","0","0","","Plant"
"PC108","0","0","0","","Plant"
"PC110","0","0","0","","Plant"
"PC80","0","0","0","","Plant"
"PC81","0","0","0","","Plant"
"PC87","0","0","0","","Plant"
"PM1","0","0","0","","Plant"
"PMC53","0","0","0","","Plant"
"S15/10","0","0","0","","Plant"
"SFS150","0","0","0","","Plant"
"SFS204","0","0","0","","Plant"
"TL1","0","0","0","","Plant"
"V1","0","0","0","","Plant"
"YAB_JAT2","0","0","0","","Plant"
"YAB_JAT4","0","0","0","","Plant"
"0000001B","1","TL1","12/108","2000","Plant"
"0000001C","1","TL1","12/108","2000","Plant"
"0000007","1","TL1","12/108","2000","Plant"
"0000008A","1","TL1","12/108","2000","Plant"
"0000008B","1","TL1","12/108","2000","Plant"
"0000014A","1","TL1","12/108","2000","Plant"
"0000014B","1","TL1","12/108","2000","Plant"
"0000029","1","TL1","12/108","2000","Plant"
"0000034A","1","TL1","12/108","2000","Plant"
"0000034B","1","TL1","12/108","2000","Plant"
"0000036B","1","TL1","12/108","2000","Plant"
"0000050A","1","SFS150","EJULU","2000","Plant"
"0000050C","1","SFS150","EJULU","2000","Plant"
"0000058A","1","SFS150","EJULU","2000","Plant"
"0000070A","1","PC110","EJULU","2000","Plant"
"0000103A","1","PC110","EJULU","2000","Plant"
"0000124A","1","SFS150","EJULU","2000","Plant"
"0000124B","1","SFS150","EJULU","2000","Plant"
"0000127A","1","SFS150","EJULU","2000","Plant"
"0000127D","1","SFS150","EJULU","2000","Plant"
"0000129A","1","SFS150","EJULU","2000","Plant"
"0000129B","1","SFS150","EJULU","2000","Plant"
"0000131A","1","SFS150","EJULU","2000","Plant"
"0000131B","1","SFS150","EJULU","2000","Plant"
"0000136A","1","SFS150","EJULU","2000","Plant"
"0000136B","1","SFS150","EJULU","2000","Plant"
"0000138A","1","SFS150","EJULU","2000","Plant"
"0000138C","1","SFS150","EJULU","2000","Plant"
"0000142A","1","SFS150","EJULU","2000","Plant"
"0000157A","1","SFS150","EJULU","2000","Plant"
"0000174","1","TL1","12/108","2000","Plant"
"0000176","1","TL1","12/108","2000","Plant"
"0000242D","1","12/108","PC110","2000","Plant"
"0000251A","1","12/108","PC110","2000","Plant"
"0000254A","1","12/108","PC110","2000","Plant"
"0000269","1","12/108","PC110","2000","Plant"
"0000292","1","MRTM1","TL1","2000","Plant"
"0000299","1","MRTM1","TL1","2000","Plant"
"0000306A","1","TL1","12/108","2000","Plant"
"0000306B","1","TL1","12/108","2000","Plant"
"0000306C","1","TL1","12/108","2000","Plant"
"0000307","1","TL1","12/108","2000","Plant"
"0000312A","1","TL1","12/108","2000","Plant"
"0000312B","1","TL1","12/108","2000","Plant"
"0000312C","1","TL1","12/108","2000","Plant"
"0000312D","1","TL1","12/108","2000","Plant"
"0000317B","1","TL1","12/108","2000","Plant"
"0000326A","1","TL1","12/108","2000","Plant"
"0000326B","1","TL1","12/108","2000","Plant"
"0000327A","1","TL1","12/108","2000","Plant"
"0000327B","1","TL1","12/108","2000","Plant"
"0000327C","1","TL1","12/108","2000","Plant"
"0000327D","1","TL1","12/108","2000","Plant"
"0000327E","1","TL1","12/108","2000","Plant"
"0000333A","1","TL1","12/108","2000","Plant"
"0000333C","1","TL1","12/108","2000","Plant"
