Var1	Freq
9803076C	2008
9806490B	1963
9805110A	1278
9716171A	864
9713644C	836
9807707B	718
9909777B	690
9700682A	498
9501529B	495
0304126A	479
9803854A	438
0700113A	428
9813850B	380
0708004A	368
0702235B	359
0007038B	340
0701947A	336
9501524A	336
9715075B	327
0006205A	311
9701987B	287
9501622B	279
0703875B	276
9806275A	259
9701475B	244
9903666A	241
0710225B	234
9707087A	199
9806390C	197
0704524B	192
9501818A	179
0708312C	166
0702856B	159
9805106A	152
9615737C	146
9804585A	128
9805147E	126
9814719C	121
9709297A	120
0709237B	119
9814836B	116
9700940A	106
0707485B	105
9814018B	104
9812905A	97
9813446D	68
0701941B	61
0303876A	51
0806474C	45
0102840A	43
9501524B	43
0705853A	36
0902710D	36
0704668C	35
0903213C	34
0906952B	30
9812985B	30
0204085B	29
0707238B	28
0702086C	27
0705017A	27
0701441C	26
0702441C	23
0705681A	22
0710212B	21
9717175A	21
0305029A	20
0305274C	20
0403912A	20
0704253A	20
0903589A	20
0702391A	19
0400082D	14
0504057A	10
0708117B	10
0903256B	9
9813644C	8
9707707B	6
0403128B	4
0709680B	3
0402799A	2
