ID	Par1	Par2	gener
0000864	0	0	0
1/157	0	0	0
1/80	0	0	0
1/92	0	0	0
10/3	0	0	0
12/108	0	0	0
12/109	0	0	0
12/227	0	0	0
12/228	0	0	0
12/49	0	0	0
12/52	0	0	0
12/53	0	0	0
12/89	0	0	0
1207/17	0	0	0
13/005	0	0	0
14/140	0	0	0
14/3	0	0	0
14/6	0	0	0
14/74	0	0	0
15/10	0	0	0
1506/7	0	0	0
16/163	0	0	0
16/88	0	0	0
1602/7	0	0	0
1704/17	0	0	0
18233	0	0	0
203/2	0	0	0
208/17	0	0	0
209/7	0	0	0
2607/7	0	0	0
303/577	0	0	0
303/999	0	0	0
31/8	0	0	0
4/1	0	0	0
4/10	0	0	0
502/7	0	0	0
510/17	0	0	0
510/2	0	0	0
6/8	0	0	0
803/17	0	0	0
901/2	0	0	0
9707707B	0	0	0
9813644C	0	0	0
BB2	0	0	0
BB21	0	0	0
BB35	0	0	0
BB5	0	0	0
BB7	0	0	0
BBT207	0	0	0
BBT282	0	0	0
C.BREVISTYLA	0	0	0
C.IRRAWADIENSIS	0	0	0
C.OLEIFERA	0	0	0
C12	0	0	0
C182/40	0	0	0
CH3	0	0	0
EJULU	0	0	0
K-PURPLE	0	0	0
MFS87	0	0	0
MRT1	0	0	0
MRTM1	0	0	0
PC108	0	0	0
PC110	0	0	0
PC80	0	0	0
PC81	0	0	0
PC87	0	0	0
PM1	0	0	0
PMC53	0	0	0
S15/10	0	0	0
SFS150	0	0	0
SFS204	0	0	0
TL1	0	0	0
V1	0	0	0
YABJAT2	0	0	0
YABJAT4	0	0	0
0000001B	TL1	12/108	1
0000001C	TL1	12/108	1
0000007	TL1	12/108	1
0000008A	TL1	12/108	1
0000008B	TL1	12/108	1
0000014A	TL1	12/108	1
0000014B	TL1	12/108	1
0000029	TL1	12/108	1
0000034A	TL1	12/108	1
0000034B	TL1	12/108	1
0000036B	TL1	12/108	1
0000050A	SFS150	EJULU	1
0000050C	SFS150	EJULU	1
0000058A	SFS150	EJULU	1
0000070A	PC110	EJULU	1
0000103A	PC110	EJULU	1
0000124A	SFS150	EJULU	1
0000124B	SFS150	EJULU	1
0000127A	SFS150	EJULU	1
0000127D	SFS150	EJULU	1
0000129A	SFS150	EJULU	1
0000129B	SFS150	EJULU	1
0000131A	SFS150	EJULU	1
0000131B	SFS150	EJULU	1
0000136A	SFS150	EJULU	1
0000136B	SFS150	EJULU	1
0000138A	SFS150	EJULU	1
0000138C	SFS150	EJULU	1
0000142A	SFS150	EJULU	1
0000157A	SFS150	EJULU	1
0000174	TL1	12/108	1
0000176	TL1	12/108	1
0000242D	12/108	PC110	1
0000251A	12/108	PC110	1
0000254A	12/108	PC110	1
0000269	12/108	PC110	1
0000292	MRTM1	TL1	1
0000299	MRTM1	TL1	1
0000306A	TL1	12/108	1
0000306B	TL1	12/108	1
0000306C	TL1	12/108	1
0000307	TL1	12/108	1
0000312A	TL1	12/108	1
0000312B	TL1	12/108	1
0000312C	TL1	12/108	1
0000312D	TL1	12/108	1
0000317B	TL1	12/108	1
0000326A	TL1	12/108	1
0000326B	TL1	12/108	1
0000327A	TL1	12/108	1
0000327B	TL1	12/108	1
0000327C	TL1	12/108	1
0000327D	TL1	12/108	1
0000327E	TL1	12/108	1
0000333A	TL1	12/108	1
0000333C	TL1	12/108	1
0000333D	TL1	12/108	1
0000336A	TL1	12/108	1
0000336B	TL1	12/108	1
0000336C	TL1	12/108	1
0000339A	TL1	12/108	1
0000339C	TL1	12/108	1
0000344	TL1	12/108	1
0000351B	TL1	12/108	1
0000371B	MRTM1	TL1	1
0000380A	MRTM1	TL1	1
0000380B	MRTM1	TL1	1
0000380C	MRTM1	TL1	1
0000388	MRTM1	TL1	1
0000391A	MRTM1	TL1	1
0000391B	MRTM1	TL1	1
0000398A	MRTM1	TL1	1
0000398B	MRTM1	TL1	1
0000402B	MRTM1	TL1	1
0000402C	MRTM1	TL1	1
0000412A	MRTM1	TL1	1
0000412B	MRTM1	TL1	1
0000412C	MRTM1	TL1	1
0000414A	MRTM1	TL1	1
0000414B	MRTM1	TL1	1
0000414C	MRTM1	TL1	1
0000418A	MRTM1	TL1	1
0000418B	MRTM1	TL1	1
0000420A	MRTM1	TL1	1
0000420B	MRTM1	TL1	1
0000425A	SFS150	EJULU	1
0000425B	SFS150	EJULU	1
0000425C	SFS150	EJULU	1
0000425D	SFS150	EJULU	1
0000425E	SFS150	EJULU	1
0000426A	SFS150	EJULU	1
0000426B	SFS150	EJULU	1
0000440A	SFS150	EJULU	1
0000449B	SFS150	EJULU	1
0000463	SFS150	EJULU	1
0000464A	SFS150	EJULU	1
0000464B	SFS150	EJULU	1
0000464C	SFS150	EJULU	1
0000464D	SFS150	EJULU	1
0000464E	SFS150	EJULU	1
0000474B	PC110	EJULU	1
0000476B	PC110	EJULU	1
0000484C	TL1	12/108	1
0000484D	TL1	12/108	1
0000493A	TL1	12/108	1
0000503A	TL1	12/108	1
0000503B	TL1	12/108	1
0000503C	TL1	12/108	1
0000540	MRTM1	TL1	1
0000589	EJULU	PC110	1
0000610A	EJULU	PC110	1
0000610B	EJULU	PC110	1
0000610C	EJULU	PC110	1
0000619E	EJULU	PC110	1
0000622C	EJULU	PC110	1
0000630A	EJULU	PC110	1
0000636B	TL1	10/3	1
0000639	TL1	10/3	1
0000641	TL1	10/3	1
0000647A	TL1	10/3	1
0000647B	TL1	10/3	1
0000669A	TL1	10/3	1
0000669B	TL1	10/3	1
0000673A	SFS150	EJULU	1
0000673B	SFS150	EJULU	1
0000673C	SFS150	EJULU	1
0000673D	SFS150	EJULU	1
0000677A	SFS150	EJULU	1
0000677B	SFS150	EJULU	1
0000678B	SFS150	EJULU	1
0000678C	SFS150	EJULU	1
0000684A	PC110	EJULU	1
0000684B	PC110	EJULU	1
0000717A	PC110	EJULU	1
0000742	MRTM1	TL1	1
0000782C	SFS150	EJULU	1
0000782D	SFS150	EJULU	1
0000785A	SFS150	EJULU	1
0000785B	SFS150	EJULU	1
0000785C	SFS150	EJULU	1
0000788	SFS150	EJULU	1
0000792A	SFS150	EJULU	1
0000792B	SFS150	EJULU	1
0000792C	SFS150	EJULU	1
0000799A	SFS150	EJULU	1
0000799B	SFS150	EJULU	1
0000800A	SFS150	EJULU	1
0000800B	SFS150	EJULU	1
0000803A	SFS150	EJULU	1
0000803B	SFS150	EJULU	1
0000804C	SFS150	EJULU	1
0000804D	SFS150	EJULU	1
0000807A	SFS150	EJULU	1
0000810	SFS150	EJULU	1
0000814A	SFS150	EJULU	1
0000814B	SFS150	EJULU	1
0000814C	SFS150	EJULU	1
0000911A	TL1	MRTM1	1
0000911B	TL1	MRTM1	1
0000914B	TL1	MRTM1	1
0000915A	TL1	MRTM1	1
0000915B	TL1	MRTM1	1
0000915D	TL1	MRTM1	1
0000915E	TL1	MRTM1	1
0000916A	TL1	MRTM1	1
0000916B	TL1	MRTM1	1
0000916C	TL1	MRTM1	1
0000920A	TL1	MRTM1	1
0000920B	TL1	MRTM1	1
0000924A	TL1	MRTM1	1
0000925A	TL1	MRTM1	1
0000925B	TL1	MRTM1	1
0000929A	TL1	MRTM1	1
0000939A	SFS150	EJULU	1
0000940B	SFS150	EJULU	1
0000944A	PC110	12/108	1
0000952B	PC110	12/108	1
0001003A	MRTM1	TL1	1
