YEAR	STAT	MONTH	VALUE
2021	Minimum	JAN	9.35483870967742
2021	Minimum	FEB	9.82142857142857
2021	Minimum	MAR	9.7741935483871
2021	Minimum	APR	10.2
2021	Minimum	MAY	10.7096774193548
2021	Minimum	JUN	8.26666666666667
2021	Minimum	JUL	7.96774193548387
2021	Minimum	AUG	8.64516129032258
2021	Minimum	SEP	7.76666666666667
2021	Minimum	OCT	10.0645161290323
2021	Minimum	NOV	10.4
2021	Minimum	DEC	9.93548387096774
2021	Maximum	JAN	29.0645161290323
2021	Maximum	FEB	28.7857142857143
2021	Maximum	MAR	29.1935483870968
2021	Maximum	APR	28.5333333333333
2021	Maximum	MAY	28.3870967741935
2021	Maximum	JUN	27.6
2021	Maximum	JUL	28.1290322580645
2021	Maximum	AUG	28.741935483871
2021	Maximum	SEP	29.3
2021	Maximum	OCT	28.8064516129032
2021	Maximum	NOV	28.7666666666667
2021	Maximum	DEC	28.4838709677419
2021	Mean	JAN	19.2096774193548
2021	Mean	FEB	19.3035714285714
2021	Mean	MAR	19.4838709677419
2021	Mean	APR	19.3666666666667
2021	Mean	MAY	19.5483870967742
2021	Mean	JUN	17.9333333333333
2021	Mean	JUL	18.0483870967742
2021	Mean	AUG	18.6935483870968
2021	Mean	SEP	18.5333333333333
2021	Mean	OCT	19.4354838709677
2021	Mean	NOV	19.5833333333333
2021	Mean	DEC	19.2096774193548
2020	Minimum	JAN	10.8709677419355
2020	Minimum	FEB	10.2413793103448
2020	Minimum	MAR	10.9677419354839
2020	Minimum	APR	11.0666666666667
2020	Minimum	MAY	9.67741935483871
2020	Minimum	JUN	9.23333333333333
2020	Minimum	JUL	9.45161290322581
2020	Minimum	AUG	9.38709677419355
2020	Minimum	SEP	9.36666666666667
2020	Minimum	OCT	9.51612903225806
2020	Minimum	NOV	9.33333333333333
2020	Minimum	DEC	9.2258064516129
2020	Maximum	JAN	28.5483870967742
2020	Maximum	FEB	29.2413793103448
2020	Maximum	MAR	29.5161290322581
2020	Maximum	APR	28.9
2020	Maximum	MAY	28.8666666666667
2020	Maximum	JUN	28.1333333333333
2020	Maximum	JUL	27.7096774193548
2020	Maximum	AUG	28.1612903225806
2020	Maximum	SEP	28
2020	Maximum	OCT	28.741935483871
2020	Maximum	NOV	28.6
2020	Maximum	DEC	28.8387096774194
2020	Mean	JAN	19.7096774193548
2020	Mean	FEB	19.7413793103448
2020	Mean	MAR	20.241935483871
2020	Mean	APR	19.9833333333333
2020	Mean	MAY	19.2720430107527
2020	Mean	JUN	18.6833333333333
2020	Mean	JUL	18.5806451612903
2020	Mean	AUG	18.7741935483871
2020	Mean	SEP	18.6833333333333
2020	Mean	OCT	19.1290322580645
2020	Mean	NOV	18.9666666666667
2020	Mean	DEC	19.0322580645161
2019	Minimum	JAN	10
2019	Minimum	FEB	9.35714285714286
2019	Minimum	MAR	10.0689655172414
2019	Minimum	APR	10.6666666666667
2019	Minimum	MAY	9.67741935483871
2019	Minimum	JUN	10.6333333333333
2019	Minimum	JUL	9.38709677419355
2019	Minimum	AUG	9.45161290322581
2019	Minimum	SEP	9.6
2019	Minimum	OCT	10
2019	Minimum	NOV	10
2019	Minimum	DEC	11
2019	Maximum	JAN	29
2019	Maximum	FEB	31.75
2019	Maximum	MAR	31.551724137931
2019	Maximum	APR	29.6333333333333
2019	Maximum	MAY	28.9032258064516
2019	Maximum	JUN	28.0666666666667
2019	Maximum	JUL	27.3548387096774
2019	Maximum	AUG	27.2258064516129
2019	Maximum	SEP	28.3
2019	Maximum	OCT	27.9354838709677
2019	Maximum	NOV	28
