id	year	stat	month	value
1	2021	MINIMUM	JAN	9.35483870967742
2	2021	MINIMUM	FEB	9.82142857142857
3	2021	MINIMUM	MAR	9.7741935483871
4	2021	MINIMUM	APR	10.2
5	2021	MINIMUM	MAY	10.7096774193548
6	2021	MINIMUM	JUN	8.26666666666667
7	2021	MINIMUM	JUL	7.96774193548387
8	2021	MINIMUM	AUG	8.64516129032258
9	2021	MINIMUM	SEP	7.76666666666667
10	2021	MINIMUM	OCT	10.0645161290323
11	2021	MINIMUM	NOV	10.4
12	2021	MINIMUM	DEC	9.93548387096774
13	2021	MAXIMUM	JAN	29.0645161290323
14	2021	MAXIMUM	FEB	28.7857142857143
15	2021	MAXIMUM	MAR	29.1935483870968
16	2021	MAXIMUM	APR	28.5333333333333
17	2021	MAXIMUM	MAY	28.3870967741935
18	2021	MAXIMUM	JUN	27.6
19	2021	MAXIMUM	JUL	28.1290322580645
20	2021	MAXIMUM	AUG	28.741935483871
21	2021	MAXIMUM	SEP	29.3
22	2021	MAXIMUM	OCT	28.8064516129032
23	2021	MAXIMUM	NOV	28.7666666666667
24	2021	MAXIMUM	DEC	28.4838709677419
25	2021	MEAN	JAN	19.2096774193548
26	2021	MEAN	FEB	19.3035714285714
27	2021	MEAN	MAR	19.4838709677419
28	2021	MEAN	APR	19.3666666666667
29	2021	MEAN	MAY	19.5483870967742
30	2021	MEAN	JUN	17.9333333333333
31	2021	MEAN	JUL	18.0483870967742
32	2021	MEAN	AUG	18.6935483870968
33	2021	MEAN	SEP	18.5333333333333
34	2021	MEAN	OCT	19.4354838709677
35	2021	MEAN	NOV	19.5833333333333
36	2021	MEAN	DEC	19.2096774193548
37	2020	MINIMUM	JAN	10.8709677419355
38	2020	MINIMUM	FEB	10.2413793103448
39	2020	MINIMUM	MAR	10.9677419354839
40	2020	MINIMUM	APR	11.0666666666667
41	2020	MINIMUM	MAY	9.67741935483871
42	2020	MINIMUM	JUN	9.23333333333333
43	2020	MINIMUM	JUL	9.45161290322581
44	2020	MINIMUM	AUG	9.38709677419355
45	2020	MINIMUM	SEP	9.36666666666667
46	2020	MINIMUM	OCT	9.51612903225806
47	2020	MINIMUM	NOV	9.33333333333333
48	2020	MINIMUM	DEC	9.2258064516129
49	2020	MAXIMUM	JAN	28.5483870967742
50	2020	MAXIMUM	FEB	29.2413793103448
51	2020	MAXIMUM	MAR	29.5161290322581
52	2020	MAXIMUM	APR	28.9
53	2020	MAXIMUM	MAY	28.8666666666667
54	2020	MAXIMUM	JUN	28.1333333333333
55	2020	MAXIMUM	JUL	27.7096774193548
56	2020	MAXIMUM	AUG	28.1612903225806
57	2020	MAXIMUM	SEP	28
58	2020	MAXIMUM	OCT	28.741935483871
59	2020	MAXIMUM	NOV	28.6
60	2020	MAXIMUM	DEC	28.8387096774194
61	2020	MEAN	JAN	19.7096774193548
62	2020	MEAN	FEB	19.7413793103448
63	2020	MEAN	MAR	20.241935483871
64	2020	MEAN	APR	19.9833333333333
