year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2021	112.5	99.5	173	357.5	198.5	106.2	96.6	113.5	185	160.5	163.5	75
2020	201.5	97	256	254.5	135	104.5	107	90.6	194.3	123.8	240	36.5
2019	24	67.55	106	183.5	214	233.5	87.5	95.5	192	204.5	292.5	230
2018	156.5	24.5	277	449	293.5	429	144.5	161.5	69	91	97.3	112.2
2017	27	145.5	86.5	191	187.5	96.5	56.5	160.5	189	170	246	18
2016	210.5	54	97.5	445	267.2	110.5	73	118.5	88.5	101.5	124.5	37.5
2015	13.5	16	83.5	418	335.5	73	84	96.6	121.1	115	207	236
2014	35	36.5	215.5	116	189.5	124.5	118	175.4	93.5	145	171	235
2013	126.5	30	223.5	262	182	129.5	105	187.5	175.5	113	113	211.5
2012	1	34.5	48	670.5	630.5	220.5	143.5	236	306	188.6	133.4	185.1
2011	75.5	53	294	146	285	157	78.5	146.9	318.9	238	327	177
2010	123.5	190	205	547	253.3	277	116	139.5	278.5	193.4	65.5	213.5
2009	153	72	89.5	386.5	200.2	169.5	46.5	184.7	166.5	167.5	92	245.5
2008	60.5	44.5	325.5	341.5	310	166	205.5	287	135	251	204	12
2007	213	247.5	173	267.5	387.5	221	248	149.6	215	63.5	118.7	72
2006	139	181	375	515.5	181.1	348.5	83	70.8	211.7	117	393	511.5
2005	201	145.5	303	254.5	350.5	299	96.5	184	149.5	164	56	18
2004	237.5	197	63.5	59.5	250	88.5	375.5	250	219.5	209	149.5	153
2003	127.5	35	164.2	273.5	533	281.5	148	219	245	265.5	148	189.5
2002	263.5	85	343	426	535	118.5	143	137.5	141	178.5	218.5	244.5
2001	429.5	56	183.5	379.2	332	395.3	311.5	154.5	250.5	320.5	157	85
2000	51	52	200	156.5	213.5	203.5	250.5	270.5	189.5	177.5	168.5	246.3
1999	219	21.5	478.2	397.6	394.2	124.5	115.5	226.5	308.5	242.3	208.6	131.1
1998	193.9	223.5	138	459	394	215.6	112	121.6	186.9	246.3	188	41
1997	170	NA	121	434	156	121	231.1	182.9	12.9	339.7	387.5	357.7
1996	153	336	363	460	502	191.5	244	122	451.5	278.8	222.5	143
1995	55.5	185.2	280	280.5	364.4	225.1	209.7	126.7	215	302	285.6	188
1994	25.7	156	224.9	475.8	409.5	204	229.3	249.2	250.4	263.6	376.8	52.5
1993	263	221.7	33.7	119.1	336.9	316.7	72.4	83.6	57.1	123.6	76.2	95.3
